"•ÈÀ""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,598.1609735,629.3019344,611.9342865,609.474578,579.8115018,557.921712,535.2524622,572.3569318,563.0957432,555.6605922,540.5029448,514.4159343,510.1213706,498.1260822,512.0682378,503.5752267,502.5984589,510.1505903,508.213295,528.686622,525.1002578,511.2370517,512.2705663,502.7825076,490.6141888,493.8413667,494.1744842,483.2027156,496.3017694,497.9630296,506.4784331,515.4034564,539.4461038,539.7586077,509.9234397,542.1086692,561.5501055,589.4201217,620.6387463,632.2481189,638.6421457,689.0509376,654.9054806,,
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,417.5213279,561.8011321,570.8454474,582.5915724,645.0801538,648.1683871,715.4144831,719.5843781,689.3004521,679.8617651,697.0041197,722.5838671,724.5629194,770.3402667,685.8991708,800.3714408,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,407.8871981,412.5465658,443.0425223,460.0040171,484.4815091,525.4329844,561.8152673,627.247973,728.7335519,791.9104745,884.6034313,955.7880631,999.1150803,989.5475,1012.241965,1032.162475,1087.075378,1148.746763,1175.326014,1077.537598,1093.362519,1148.197877,1180.393306,1211.49132,1264.846474,1294.67819,1307.366766,1300.114888,1284.325318,1294.789949,1344.44939,1395.386792,1391.655554,1440.453276,1490.58203,1543.95638,1579.377278,1664.643933,1714.533766,1776.663722,1738.37189,1838.424771,1811.054451,,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,3677.714784,3243.469755,3408.713688,2967.593617,3646.75068,3956.037367,5682.190886,5765.452735,6005.86324,7112.667427,8115.418605,8344.449652,7645.782422,9433.464451,10157.77902,10893.91128,11389.13265,10994.92287,11965.7722,11274.93268,12276.81621,11073.1986,11050.32044,11640.05592,11779.76991,12674.1421,11897.26651,11727.94529,11306.78167,11128.82148,11613.06767,11958.47746,11094.96971,10652.94314,9696.483203,8927.388032,8343.108767,8437.621863,7780.355472,7414.658562,7361.146583,7552.520502,7691.013739,,
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,1380.921228,1379.818867,1411.496781,1415.683009,1378.546993,1404.744725,1420.567659,1426.919208,1484.566037,1487.617026,1430.439984,1416.539925,1419.930117,1447.81968,1360.665503,1421.834881,1477.076529,1505.196566,1441.482355,1407.564374,1430.742196,1484.058918,1469.011119,1543.334685,1545.593122,1582.728253,1614.33824,1650.785708,1660.492751,1661.605508,1563.12609,1502.224881,1589.541099,1717.957226,1710.823374,1841.985806,1846.936756,1924.372627,1852.323145,1909.725704,1918.506379,1906.629811,1894.617872,,
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.534057,2313.522378,1197.449077,650.6666967,419.0206335,510.2484415,561.2390398,593.385436,609.1591984,592.620773,654.920617,655.4645109,615.7612981,652.4845048,692.2562659,833.2925915,852.2494297,954.7303536,1009.761249,879.9308724,837.929594,914.9537194,997.3992215,969.3097903,,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
